ticker,signal
AAPL,0.6584847596245214
MSFT,0.5791914432073688
GOOGL,0.7828454137934441
AMZN,0.7164160984463654
NVDA,0.6854769869927121
META,0.7569573349625441
TSLA,0.7956129196049984
JPM,0.4994964509907341
JNJ,0.6213751642509797
V,0.5794647405052351
PG,0.3602604383559088
MA,0.4645734458609307
HD,0.3901389460615762
CVX,0.4884871669530451
MRK,0.727184935612777
ABBV,0.3485119313316354
PEP,0.4574164908090254
KO,0.46295123512014397
AVGO,0.8887418352922771
COST,0.4145684810620408
WMT,0.42552579600152124
TMO,0.48198171117336414
MCD,0.4143514536936464
CSCO,0.5414341586034146
CRM,0.4904137784909608
ACN,0.32993435953957195
ADBE,0.40301361836542177
NFLX,0.717517333093707
AMD,0.7632619042591475
INTC,0.7939500592555209
QCOM,0.6228744968724163
TXN,0.6286024991499903
HON,0.44770584031076555
UNP,0.4456473305891601
BA,0.4757686801616066
CAT,0.66068462559237
GE,0.7014155927422875
MMM,0.6098103008091701
RTX,0.6873245108095412
LMT,0.38338870202041336
UPS,0.4271084416878519
FDX,0.4387715585309003
DE,0.4998462374166062
SPGI,0.43997187240585645
AXP,0.6089694867708104
GS,0.6921172620409595
MS,0.7429793965551883
BLK,0.5838118076689538
C,0.6180712519953244
WFC,0.6734787992339951
USB,0.49528639458892293
PNC,0.6061908011595848
TFC,0.5099045902589495
SCHW,0.5024870345818255
BK,0.6526463468573828
COF,0.5835904264416613
XOM,0.43698337783023744
COP,0.5489774785186644
SLB,0.41952782525764504
EOG,0.4733300039445807
OXY,0.49818864680355907
PSX,0.47080514549956465
VLO,0.5876898120553453
LLY,0.6170449769489059
UNH,0.4784135772435762
PFE,0.5998024479656481
ABT,0.4475943044820704
BMY,0.763463332060047
AMGN,0.4364378237469475
GILD,0.4308117734115714
BIIB,0.6093317389724211
MDT,0.6806321819954898
DHR,0.486463320376209
SYK,0.5876316353715731
ISRG,0.6322274252569329
BDX,0.4385907174428381
ZBH,0.647038157900302
EW,0.4629608891315953
DXCM,0.764911993022338
DIS,0.3771825063435113
CMCSA,0.3305667723879473
T,0.42556417426884957
VZ,0.36657000968618136
TMUS,0.43359127972552963
CHTR,0.3916228158393522
EA,0.5404012245559277
NKE,0.4168044008084398
SBUX,0.372057621949464
LOW,0.3718125415948391
TJX,0.40241584481953274
ORLY,0.41502641315024436
AZO,0.4258485923724135
DG,0.4992622041557895
DLTR,0.4095783822782608
